TAXON_NAME_ID,GENUS,SPECIES,AUTHOR_TEXT
145159,Phoebodus,dens-neptuni,"Eastman, 1903"
145160,Phoebodus,knightianus,Eastman
140149,Phoebodus,politus,N.
136204,Pholiderpeton,scutigerum,Huxley
140208,Pholiderpeton,,
454654,Pholiderpeton(?),bretonensis,Romer
136221,Pholidogaster,pisciformis,
141268,Pholidolepis,dorsetensis,
141417,Pholidolepis,macropthalmus,
141942,Pholidolepis,,
140504,Pholidophorous,,
140106,Pholidopleurus,typus,Brown
141044,Pholidosteus,friedeli,
136296,Phonerpeton,pricei,(Olsen) 1941
136483,Phonerpeton,,
137659,Phonorpeton,pricei,
137871,Phoradiadius,divortiensis,
146382,Phosephodus,magnus,
135732,Phthinosuchus,discors,Efremov
141922,Phyllodus,speciosus,
141356,Phyllodus,toliapicus,
141365,Phyllodus,,
139324,Phyllolepis,orvini,Heintz
137304,Physeterula,dubusii,Van B.
526675,Physichthys,hoeninghausi,"von Meyer, 1855"
145672,Physonemas,,
138925,Phytosaurus,kapffi,(Meyer)
330351,Phytosaurus,,
139405,Picrodus,silberlingi,
417942,Picrodus,,
139127,Pierodus,silberlingi,Douglass
139955,Pilchenia,,
139376,Pitimys,pinetorum,
141600,Piveteania,madagascariensis,
137963,Placodus,gigas,"Agazzis, 1833"
136059,Placosaurus,europaeus,
141812,Plagiocentenodon,krausac,
137599,Plagiodontia,,
141791,Plagiomene,multicuspis,
139471,Plagiomene,,
138530,Plagionene,multicuspis,
138861,Planetetherium,mirabible,
136993,Plastomenus,,
520324,Plataspis,brevicornis,"Heintz, 1929"
139045,Platecarpus,,
138935,Plateosaurus,quenstedti,Huene
138936,Plateosaurus,,
136308,Platycarpus,coryphaeus,
136311,Platycarpus,,
136279,Platychelys,oberndorferi,Wagner
139916,Platychoerops,daubrei,"Lemoine, 1879"
521026,Platychoerops,richardsoni,
139486,Platycormus,germanus,von der Marck
142492,Platygonus,leptorhinus,Williston
454259,Platygonus,,
138327,Platyhistrix,,
135783,Platyhystrix,rugosus,"Williston, 1911"
146345,Platyops,watsoni,Efremov
135730,Platypterygius,australis,(M'Coy)
145908,Platystomus,gibbosus,Ag.
144666,Plauroptychus,curtus,
143670,Pleshippus,,
143226,Plesioadapis,,
140494,Plesioberyx,discoides,
140495,Plesioberyx,dubius,Davis
145640,Plesiogulo,,"Zdansky, 1924"
138545,Plesiolestes,problematicus,
136865,Plesiomeryx,cadurcensis,Gervais
144218,Plesiominthus,geringensis,
137828,Plesiominthus,sabrae,
138050,Pleuraspidotherium,aumonieri,
141212,Pleurodus,,
141215,Pleuroplax,attheyi,Barker
141213,Pleuroplax,rankinei,H. & A.
145889,Pleuroplax,,
136047,Pleuroptyx,clavatus,Cope
136282,Pleurosternum,bullocki,Owen
139181,Pleurostylodon,,
137029,Pliauchenia,,
136022,Plicagnathus,matthewi,Cook
145592,Plioambystoma,kansense,Adams
519870,Pliogulo,dudleyi,"White, 1941"
136214,Pliosaurus,grandis,Owen
144661,Poabromylus,,
138307,Podbrotherium,wilsoni,
135885,Podbrotherium,,
137606,Poebrotherium,eximium,
137640,Poliosaurus,uniformis,
137646,Poliosaurus,,
141503,Polycodus,,
139951,Polydolops,rothi,"Simpson, 1936"
139952,Polydolops,thomasi,"Ameghino, 1897"
139193,Polyglyphanodon,sternbergi,
138923,Polyptychodon,interruptus,Owen
136379,Pomatodelphis,inaequalis,
141493,Pontifactor,bestiola,
142476,Portheus,,
142006,Praolestes,nanus,
147477,Pratifelis,martini,
147666,Prestosuchus,,
138580,Prionessus,lucifer,
141575,Prionolepis,cataphractus,
140127,Priscacara,pealei,Cope
140128,Priscacara,serrata,Cope
142471,Priscacara,testudinaria,Cope
140217,Pristodus,falcatus,Davis
140218,Pristodus,,
136828,Proaelurus,medius,Filhol
136249,Proamphiuma,cretacea,
138942,Proamphiuma,cretacica,
136724,Probainognathus,jenseni,
137007,Probainognathus,,
138523,Probathyopsis,successor,"Jepsen, 1930"
142015,Probathyopsis,,
137954,Procamellus,,
139211,Procerberus,formicarum,
139772,Procerberus,,
138508,Prochetodon,cavus,
139660,Prochetodon,,
138876,Prochteodon,cuvus,
141995,Proconsul,africanus,"Hopwood, 1933"
138017,Proconsul,,
137610,Procoptodon,goliah,Owen
137611,Procoptodon,rapha,Owen
137609,Procoptodon,,
136750,Procynosuchus,,
137013,Prodesmodon,copei,
138952,Prodesmodon,,
136096,Prodipodomys,kansensis,Hibbard
139083,Prodremotherium,,
147624,Progalago,bishopi,
135652,Proheteromys,floridanus,
141978,Proheteromys,magnus,
138714,Proheteromys,nebraskensis,"Wood, A.E., 1937"
147623,Prohyrax,tertianius,
595056,Prohyrax,,
137333,Prolacenta,,
136532,Prolagus,sardus,
140524,Prolebias,cephalotes,Agassiz
140523,Prolebias,furcatus,(Winkler)
146998,Prolebias,,
138524,Prolimnocyon,atavus,
138749,Promerychoerus,,
136501,Promerycochaerus,hatcheri,Douglass
139983,Promioclaenus,aquilonius,
145055,Promioclaenus,lemuroides,
144213,Promioclaenus,,
137841,Promylagaulus,,
137028,Pronomotherium,,
521238,Pronotacanthus,sahelalmae,(Davis)
139947,Pronycticebus,gaudryi,"Grandidier, 1904"
137218,Propachynolophus,gaudryi,
145957,Propachynolophus,maldani,
136589,Propalaeohoplophorus,,
138890,Propalaeonodon,schaffi,
138847,Propalaeosinopa,diueuli,
137216,Propalaeotherium,argentonicum,
137217,Propalaeotherium,parvulum,"(Laurillard, 1849)"
138879,Propaleoanodon,,
137428,Propaleohoplophorus,,
138856,Propaleosinopa,thomsoni,"Simpsoni, 1936"
137942,Propliopithecus,haeckeli,
139650,Propterus,speciosus,
137594,Proroziphius,chonops,Leidy
137004,Prosalirus,bitis,
141060,Proscinetes,bernerdi,
142316,Proscinetes,,"(Gistl, 1848)"
141114,Proscinites,bernerdi,
136083,Prosciurus,relictus,(Cope)
138302,Prosciurus,vetustus,Matthew
137850,Prosciurus,,
142497,Prosthennops,crassigenis,Gidley
137409,Prosthennops,elmorei,White
137388,Prosthennops,,
147444,Protapirus,,
136228,Proterochampsa,barrioneuvoi,Reig
136043,Proterochampsa,barrionuevoi,
139160,Proterotherium,brachygnathus,
526079,Prothyracodon,uintense,O. A. Peterson
